epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.355392156863,1.30911216315,0.328125,1.38260069348
1,0.416053921569,1.22320259319,0.341517857143,1.36523181484
2,0.424325980392,1.14977266742,0.379464285714,1.31650219645
3,0.443933823529,1.09412258747,0.44494047619,1.05018527167
4,0.449754901961,1.02168019496,0.448660714286,0.985774693035
5,0.45925245098,0.982738306709,0.418898809524,1.0368298207
6,0.462316176471,0.965274619121,0.473214285714,0.886859544686
7,0.464767156863,0.937417528209,0.473214285714,0.88324926013
8,0.483455882353,0.914001224088,0.430803571429,1.08242792459
9,0.465073529412,0.900616544134,0.453125,0.912465336777
10,0.476102941176,0.877380462254,0.46130952381,0.869488088858
11,0.476715686275,0.874839196018,0.455357142857,0.859808342797
12,0.473958333333,0.848688659715,0.462053571429,0.906997388317
12,0.473958333333,0.848688659715,0.462053571429,0.906997388317
13,0.475796568627,0.857149342696,0.433779761905,0.976982281322
14,0.494791666667,0.823852279607,0.472470238095,0.852218903246
15,0.493566176471,0.822122213887,0.470238095238,0.836984989189
16,0.494791666667,0.820188317813,0.474702380952,0.794250732376
17,0.503982843137,0.804210340275,0.474702380952,0.80932499965
18,0.508272058824,0.797660640642,0.496279761905,0.780179656687
19,0.522058823529,0.793275851829,0.493303571429,0.7874463825
20,0.518995098039,0.788017839778,0.482886904762,0.842850151516
21,0.508578431373,0.793402332886,0.428571428571,0.935226454621
22,0.498468137255,0.782629090197,0.452380952381,0.86733214912
23,0.511948529412,0.779937634281,0.470982142857,0.814830992903
24,0.520526960784,0.763369602316,0.47619047619,0.787338194393
25,0.522365196078,0.760412499016,0.470982142857,0.822190242154
26,0.539828431373,0.749463629489,0.509672619048,0.767368736721
27,0.551776960784,0.745111562458,0.498511904762,0.811566923346
28,0.572610294118,0.739901277364,0.527529761905,0.772939801216
29,0.590379901961,0.731900023479,0.575892857143,0.753269178527
30,0.614276960784,0.709687722664,0.634672619048,0.711407990683
31,0.609068627451,0.704721293029,0.661458333333,0.694211431912
32,0.641544117647,0.672347497706,0.591517857143,0.774411613033
33,0.64675245098,0.65587968686,0.646577380952,0.7152977231
34,0.658088235294,0.646960083176,0.668898809524,0.634149151189
35,0.652267156863,0.635127798599,0.678571428571,0.615448335807
36,0.66237745098,0.619014305227,0.674851190476,0.67973957743
37,0.671875,0.590829960271,0.678571428571,0.660161790394
